negyedev,y_e_a,y_S_e_a,y_L_e_a,ii_e_a,i_S_e_a,i_L_e_a,efp_S_e_a,efp_L_e_a,nw_S_e_a,nw_L_e_a,infl_e_a,r_e_a,rer_e_a,xx_e_a,c_e_a,y_e_m,y_S_e_m,y_L_e_m,ii_e_m,i_S_e_m,i_L_e_m,efp_S_e_m,efp_L_e_m,nw_S_e_m,nw_L_e_m,infl_e_m,r_e_m,rer_e_m,xx_e_m,c_e_m,y_e_g,y_S_e_g,y_L_e_g,ii_e_g,i_S_e_g,i_L_e_g,efp_S_e_g,efp_L_e_g,nw_S_e_g,nw_L_e_g,infl_e_g,r_e_g,rer_e_g,xx_e_g,c_e_g,y_e_ystar,y_S_e_ystar,y_L_e_ystar,ii_e_ystar,i_S_e_ystar,i_L_e_ystar,efp_S_e_ystar,efp_L_e_ystar,nw_S_e_ystar,nw_L_e_ystar,infl_e_ystar,r_e_ystar,rer_e_ystar,xx_e_ystar,c_e_ystar,y_e_rstar,y_S_e_rstar,y_L_e_rstar,ii_e_rstar,i_S_e_rstar,i_L_e_rstar,efp_S_e_rstar,efp_L_e_rstar,nw_S_e_rstar,nw_L_e_rstar,infl_e_rstar,r_e_rstar,rer_e_rstar,xx_e_rstar,c_e_rstar,y_e_sov,y_S_e_sov,y_L_e_sov,ii_e_sov,i_S_e_sov,i_L_e_sov,efp_S_e_sov,efp_L_e_sov,nw_S_e_sov,nw_L_e_sov,infl_e_sov,r_e_sov,rer_e_sov,xx_e_sov,c_e_sov,y_e_bank,y_S_e_bank,y_L_e_bank,ii_e_bank,i_S_e_bank,i_L_e_bank,efp_S_e_bank,efp_L_e_bank,nw_S_e_bank,nw_L_e_bank,infl_e_bank,r_e_bank,rer_e_bank,xx_e_bank,c_e_bank
1,0.00319654721172288,0.00319267199879351,0.003201283583081,0.000300486827925731,-0.000179107951587102,0.000780081607438564,0.000482435579736392,0.000154855756761388,-0.00849284057336391,-0.00577308177928711,-0.00424632421525136,-0.00119398358428234,0.00203601733230756,0.00203601733230756,0.00153851317966693,-0.00470998619663632,-0.00471531364543183,-0.00470347487033068,-0.00343705875029453,-0.00410281010298313,-0.00277130739760593,0.000807729086569427,0.000298576462722183,-0.0238217469528562,-0.021926374315064,-0.00483684062901046,0.000931198156380955,-0.00299999120804861,-0.00299999120804861,-0.000722536773915399,0.00116960922114121,0.00116980046951908,0.00116937547312381,-0.000151543223880461,-0.00012785038173208,-0.000175236066028842,-1.75805173036272e-05,-4.16163383068931e-06,-2.98135921463839e-05,-0.000234389375188355,0.000128090004555427,6.76672318951584e-05,-0.00052891132411388,-0.00052891132411388,-0.000251822860049215,0.00348068255721453,0.00348111718079515,0.00348015135061599,1.26446907204754e-06,5.86142335863395e-05,-5.60852954422445e-05,-6.18791247017513e-05,-2.04259960609453e-05,0.00117931968483469,0.00087968443205561,3.52588970450167e-05,9.75947330438684e-05,-0.00287854614190157,0.00712145385809843,-0.000117569606077625,0.00571559798643821,0.00571647664545669,0.00571452406986007,-0.0019937485325649,-0.00185399009894384,-0.00213350696618597,-0.000337594392924729,-0.000106016826362644,0.00094524821557893,-8.6263771487225e-05,0.00430347259362932,0.00143393172774975,0.00364050827161669,0.00364050827161669,-0.00127899575242138,-0.000100176483707077,-0.000107918999911116,-9.07134083465691e-05,-0.00269662919565927,-0.00369334071176637,-0.00169991767955218,0.00150048266847306,0.000558149551761372,-0.0135003964384278,-0.00719976972893774,-1.3099873046503e-05,-6.43437400662841e-06,-6.38066775204287e-05,-6.38066775204307e-05,6.99513778395165e-05,-3.21682924549388e-05,-3.4247650175085e-05,-2.96268552414205e-05,-0.00101569695591653,-0.00130483774211667,-0.000726556169716402,0.000688920179071199,0.000324976993511789,-0.00477671828336455,-0.00308340400412335,-8.61006855340223e-06,-3.38722787739383e-06,-2.04893582515531e-05,-2.04893582515534e-05,1.80560905595188e-05
2,0.00522494524881834,0.00521585287076999,0.00523605815532194,0.00111480878048643,0.000671439866175321,0.00155817769479754,0.000542226636974616,0.000182338535317905,-0.00733489646349645,-0.00521226869781464,-0.00246311427771004,-0.00156349751951842,0.0033279906043429,0.00332799060434289,0.00286929854411932,-0.0022313889064568,-0.00224388865275851,-0.00221611143875462,-0.00256675197790109,-0.00317088182753746,-0.00196262212826472,0.000813171264856352,0.000309106853734854,-0.021402911393628,-0.0203053074660766,-0.000683090612727633,0.000484246618625065,-0.00142126681939922,-0.00142126681939923,-0.000905454761834461,0.000752865744535335,0.000753314468924,0.000752317303615849,-0.000228642614155892,-0.000206163518120161,-0.000251121710191622,-2.76385973165604e-05,-7.94834930660491e-06,-5.50452988405696e-05,-0.000229983977886364,0.000135440647226113,0.000113587623297346,-0.000603270226410615,-0.000603270226410614,-0.000441653545149855,0.0017930545882233,0.00179407434171187,0.00179180822284842,-0.000278230777509138,-0.000225686284108961,-0.000330775270909318,-9.5903397964605e-05,-3.26574165906534e-05,0.00102629743104627,0.000799801522375697,0.000443636472669215,0.000255993092941442,-0.00318913720495331,0.00531086279504669,-0.000269076678257032,0.00346669929147752,0.00346876088141263,0.0034641795704456,-0.00197367229839622,-0.0018728120292651,-0.00207453256752734,-0.000302580559735605,-9.77715924935161e-05,0.000384842327554444,-0.000268275155245166,0.000434927981954454,0.00136429125907307,0.00220808872068633,0.00220808872068632,-0.00197449202995728,-0.000124513293037731,-0.000142679490781173,-0.000102310162462377,-0.00245477532300559,-0.00332173261360149,-0.00158781803240969,0.00132538460354319,0.000513288044699373,-0.0105446429604274,-0.00585883340527023,1.36128652485252e-05,-4.17647195668978e-06,-7.93078299603303e-05,-7.93078299603387e-05,0.000114907894476149,-3.83328578855284e-05,-4.32116366349767e-05,-3.2369906080636e-05,-0.000874150118592593,-0.00110679042674134,-0.000641509810443852,0.000584749488504268,0.000285319488408399,-0.00349072369700811,-0.00235808673782021,2.35278879954298e-06,-2.96226710919056e-06,-2.44158330481041e-05,-2.44158330481074e-05,2.95473506157947e-05
3,0.00578348278559065,0.00576878500395001,0.00580144674092927,0.0014840894949646,0.00108677838000995,0.00188140060991924,0.000532148501708132,0.00018586658413067,-0.00614396715212025,-0.0046311952871027,-0.00186222298863679,-0.00166487784256601,0.00368374699719151,0.0036837469971915,0.00386059339305967,-0.00105148471039599,-0.0010716538777268,-0.00102683350588048,-0.00207297249191728,-0.00261147656948381,-0.00153446841435075,0.000766569970643424,0.000301001874238187,-0.019096745501365,-0.0187467867973338,-0.000314804878894748,0.000266668713471738,-0.000669735484328641,-0.000669735484328655,-0.000873687053873842,0.000533267955744348,0.000533993179589046,0.000532381571045268,-0.00025482979373416,-0.000234985413717712,-0.000274674173750606,-2.91853227168465e-05,-8.90020834958023e-06,-9.43037018197086e-05,-0.0002324540028984,7.78639585272285e-05,0.000127560985089656,-0.000580721047296594,-0.000580721047296593,-0.000567390291766281,0.000926451029492398,0.000928079177718881,0.000924461070548947,-0.000360643623391836,-0.000317845543590085,-0.00040344170319359,-9.75206342121013e-05,-3.4128214687348e-05,0.000829209394587751,0.00070241603659883,0.000214029494420009,0.000292164598416465,-0.00309143246529146,0.00413356753470853,-0.00036673890907833,0.00216007704823594,0.00216323297494836,0.00215621980447621,-0.00179113291093736,-0.00172638985228191,-0.00185587596959281,-0.000247469693433937,-8.20198768707207e-05,-9.43222396213714e-05,-0.000426694971290244,0.000190498419379813,0.0012025844592783,0.00137584525365348,0.00137584525365346,-0.00222658085629376,-0.000144021073295015,-0.000173167391102365,-0.000108397795974893,-0.00223898229481824,-0.00299322667906606,-0.00148473791057042,0.00117065649833254,0.000472020989244748,-0.00800282621502039,-0.00466378799644757,1.63526852635496e-05,-2.03589881866386e-06,-9.17331677038249e-05,-9.17331677038321e-05,0.000142271624677743,-4.38058108476988e-05,-5.15112419236327e-05,-3.43880617548825e-05,-0.000752188448837209,-0.000937581980036779,-0.00056679491763764,0.000495040406430188,0.000250180824993215,-0.00242736828963122,-0.00173873340005144,3.72822767230828e-06,-2.34649065685273e-06,-2.79017903488502e-05,-2.79017903488528e-05,3.6253133698888e-05
4,0.00568126345858126,0.00566112687759916,0.0057058748353372,0.00163663732832829,0.00128625628133111,0.00198701837532546,0.00049294796470164,0.000178645508909633,-0.00502790307191791,-0.00407297500113792,-0.00150897153577311,-0.00164256214832021,0.00361863914559317,0.00361863914559316,0.00452331852595934,-0.000495448282872049,-0.000523040165697774,-0.000461724870529436,-0.00176866150264054,-0.00224431592423383,-0.00129300708104725,0.000700557044703758,0.000284949781228744,-0.0169767218709188,-0.0172804366634935,-0.000136522901862582,0.000159991893146823,-0.000315572154695561,-0.000315572154695574,-0.000770811335234546,0.000410492540779471,0.000411482455313883,0.000409282645237409,-0.000257458421113448,-0.000240580496845752,-0.000274336345381143,-2.71355769843533e-05,-8.60136457301951e-06,-0.000133950207258325,-0.000236473418927863,4.89944722454572e-05,0.000127009443264851,-0.000520864623707343,-0.000520864623707342,-0.00063969271182894,0.000465828428458659,0.0004680034423745,0.000463170078117103,-0.000355965670706054,-0.000323669643620362,-0.000388261697791749,-8.63040418947449e-05,-3.11593251344083e-05,0.000639517560855962,0.000607314897455864,0.000101562839892609,0.000275846241412421,-0.00283259335766964,0.00330865664233036,-0.000396982118948467,0.0013484803119132,0.0013524575417067,0.00134361925327663,-0.00155605417079553,-0.00152178471478667,-0.00159032362680439,-0.000190447104864237,-6.4817273436571e-05,-0.000465760061659872,-0.000549510156326011,7.09251765064877e-05,0.00101705712817241,0.000858904657269573,0.000858904657269558,-0.00217671117817494,-0.000159792645925616,-0.000199404015965731,-0.000111378749209896,-0.00204644297579143,-0.00270284579972149,-0.00139004015186138,0.00103392171210587,0.000434055650602973,-0.00582328702680391,-0.00360102170802754,1.88778026313627e-05,3.98055863356677e-08,-0.000101778755366629,-0.000101778755366635,0.000157243495528854,-4.829321581159e-05,-5.8526596729818e-05,-3.5785750244861e-05,-0.000647132283919369,-0.000793159827074694,-0.000501104740764045,0.000417899241972253,0.000219072038143145,-0.00155353845737578,-0.00121210393012329,4.75784643821483e-06,-1.65716898930786e-06,-3.07600100710744e-05,-3.07600100710764e-05,3.95263144380397e-05
5,0.00530270109529918,0.00527758409673093,0.00533339964910487,0.00168333398045739,0.00137691325685258,0.00198975470406219,0.000443789472808934,0.000166995187837017,-0.00402722701197556,-0.00355535676917237,-0.00128162125374932,-0.00156596856739849,0.00337751662120968,0.00337751662120967,0.00491503794007493,-0.000238429378724933,-0.000272821601860723,-0.000196394439336692,-0.00156275735027549,-0.00198101583399312,-0.00114449886655787,0.00063021072308792,0.000266022994847278,-0.0150630390694232,-0.0159156155898093,-4.9937156931435e-05,0.000107051632969913,-0.000151865846321603,-0.000151865846321614,-0.000656812522171388,0.000336032812780614,0.000337258663485809,0.000334534550807593,-0.000249647216425706,-0.000235596939601761,-0.000263697493249651,-2.37892100724633e-05,-7.80213534346644e-06,-0.000168498773911622,-0.000239766646218548,3.41429640228796e-05,0.000120251264138262,-0.000450942475935915,-0.000450942475935914,-0.000671731110024408,0.000209571233499904,0.000212188085437248,0.000206372858909839,-0.00031615897376395,-0.000293408112901692,-0.000338909834626212,-7.12171184468433e-05,-2.66832960378819e-05,0.000476359539133144,0.00052218663865934,4.6050287226269e-05,0.000239731360135314,-0.00252641959649687,0.00269364290350312,-0.000372193175020331,0.000809959239955402,0.000814425953540626,0.000804499923351173,-0.00131798483422554,-0.00130801956736453,-0.00132795010108656,-0.000138913048609227,-4.87385682821744e-05,-0.000731951657970509,-0.000635951006574474,1.24731457308226e-05,0.000837636627256055,0.000515897605067152,0.000515897605067135,-0.00194088560700344,-0.000172586947173243,-0.00022165595549376,-0.000112613714781481,-0.00187462398869194,-0.00244616619678338,-0.00130308178060051,0.000913084801014505,0.000399125882537933,-0.0039605616730628,-0.00265811781669143,2.11786915035307e-05,2.07077824079487e-06,-0.000109927991830086,-0.000109927991830091,0.000163496027941192,-5.17769115072473e-05,-6.41111031006638e-05,-3.6701788448623e-05,-0.000556710413996746,-0.000670072164419834,-0.00044334866357366,0.000351662083520613,0.000191552432611505,-0.000840654686709161,-0.000766479626580548,5.56331350573227e-06,-9.51163927408244e-07,-3.29789245269075e-05,-3.2978924526909e-05,4.03734444564378e-05
6,0.00482825939520249,0.0047987490454242,0.00486432760048709,0.00167825985417351,0.0014114021496179,0.00194511755872911,0.000393470732689799,0.000153913450416745,-0.00315130566270723,-0.0030840948880902,-0.00112076163552875,-0.00146829685969736,0.003075324455543,0.00307532445554298,0.00510020014358191,-0.000124137463223068,-0.000164548428514537,-7.47462834223367e-05,-0.00141056903573406,-0.00177765785700223,-0.00104348021446589,0.000562222888224099,0.000246593096409675,-0.0133519668168584,-0.0146522993968748,-7.6515561274957e-06,8.02424029571124e-05,-7.90684479127733e-05,-7.90684479127831e-05,-0.000554072715207697,0.000286356340790761,0.000287782114807553,0.000284613728103568,-0.000237648141653184,-0.000226106844700928,-0.000249189438605439,-2.0193298054837e-05,-6.85191221275828e-06,-0.000196233434526182,-0.00024149056677376,2.61921456835731e-05,0.000111217563535453,-0.000382837123700152,-0.000382837123700151,-0.000675346165070299,5.91203176040756e-05,6.20600876979165e-05,5.55272652671794e-05,-0.000265333792835982,-0.000250599007527129,-0.000280068578144838,-5.61816826797264e-05,-2.20151739268773e-05,0.000344291542137278,0.000449181413939787,1.83675939922783e-05,0.000198773374246036,-0.00222326253655791,0.00221379058844208,-0.000310568161042028,0.000432033204092598,0.000436667861077001,0.000426368623333831,-0.00109775932667222,-0.00110638024509818,-0.00108913840824627,-9.52829518754839e-05,-3.47289034653961e-05,-0.000906501908958003,-0.000689811490001665,-1.58477321037642e-05,0.000676155812276024,0.000275180384772372,0.000275180384772355,-0.00160511083531143,-0.00018295291363662,-0.00024029283307954,-0.000112870789873035,-0.00172125320385596,-0.00221926488219421,-0.00122324152551771,0.000806296484179608,0.000366988465661311,-0.00237464469186761,-0.00182374818729644,2.3260187814145e-05,4.06085609596202e-06,-0.000116530518239881,-0.000116530518239885,0.000163634918715159,-5.43468500576053e-05,-6.83293537890744e-05,-3.72571232746962e-05,-0.000478971596237792,-0.000565353494885683,-0.000392589697589902,0.000294873237573247,0.000167226717427026,-0.000264095585422371,-0.000391502244936798,6.21004272274697e-06,-2.56589576543148e-07,-3.46158280621677e-05,-3.46158280621689e-05,3.95341941392854e-05
7,0.00434070615963135,0.00430742239986236,0.00438138631046013,0.00164796127227394,0.00141595770442455,0.00187996484012332,0.00034582974483482,0.000140795855419905,-0.0023956648658834,-0.00265938725457827,-0.00099711859374653,-0.00136525541189107,0.00276478099339577,0.00276478099339576,0.00513557803284662,-7.74517610652207e-05,-0.000123062986124328,-2.17047082151586e-05,-0.00128984870243337,-0.00161191185017438,-0.000967785554692372,0.000499308671636088,0.000227735212173525,-0.0118297896859149,-0.013486297060091,1.31931049809649e-05,6.62155598333557e-05,-4.93323318886674e-05,-4.93323318886763e-05,-0.000468744990737885,0.000249974771630567,0.000251563220381278,0.000248033334268586,-0.000224402195742419,-0.000215004804351972,-0.000233799587132864,-1.67983881268392e-05,-5.90792219648538e-06,-0.000217115575843221,-0.000241458274148992,2.16828794855313e-05,0.000101728283964787,-0.000321225643069703,-0.000321225643069701,-0.000659969766792439,-3.42287663896577e-05,-3.10808526727532e-05,-3.80762164880773e-05,-0.000214285873006097,-0.000205971877307587,-0.000222599868704611,-4.2751822122166e-05,-1.77042349705466e-05,0.000241680807357222,0.000388030675066303,4.388012602815e-06,0.00015947938401793,-0.0019435827333692,0.00182791242288079,-0.000228553578928571,0.000155770545944696,0.000160295273165692,0.000150240323785655,-0.000902733817727378,-0.000925019606617436,-0.000880448028837328,-5.97542593688022e-05,-2.29905707109238e-05,-0.00100600690036083,-0.00071635696334201,-2.91733817080425e-05,0.000536066898957019,9.92169082450461e-05,9.92169082450289e-05,-0.00122900265633021,-0.000191303928017901,-0.00025571300610258,-0.000112581721469949,-0.00158430069656453,-0.00201866817343227,-0.00114993321969679,0.000711923715437402,0.000337420422320582,-0.00103034180132123,-0.00108757854953185,2.5134320895257e-05,6.00638294489722e-06,-0.000121849635680188,-0.000121849635680192,0.000159517449297076,-5.61266944633487e-05,-7.13305454348219e-05,-3.75442099426581e-05,-0.000412227261377727,-0.000476444696368641,-0.000348009826386812,0.000246262426722105,0.000145741242898282,0.000197316514960087,-7.80261768119593e-05,6.73594870248343e-06,4.12345587926234e-07,-3.57494869193295e-05,-3.57494869193303e-05,3.75482112614735e-05
