negyedev,y_v03_pct,y_unio_pct,y_unio_nr_pct,r_unio_bp,dep_unio_nr_pct,c_unio_nr_pct
1,-0.251690713443735,-0.199038263319212,-0.342621606937426,-7.05036500955544,-0.338541051581132,0.357446976102105
2,-0.226445747919364,-0.191040530509387,-0.357945103004304,-7.73539131629077,-0.019931333557322,0.487256714329523
3,-0.207095137220591,-0.183729098104007,-0.36855728698388,-8.24944976732103,-0.017207366381809,0.567399116137481
4,-0.19234861316974,-0.176873015587413,-0.375402385175359,-8.64828545843056,-0.015334232669997,0.613524814006666
5,-0.181292877877333,-0.170283830459629,-0.379132213823397,-8.96834876059144,-0.013966496817336,0.636548059166456
6,-0.173298081176257,-0.163794125971765,-0.380162719207675,-9.2325602947486,-0.0128451590450346,0.644194834812944
7,-0.167950264686604,-0.15724097163824,-0.378714235565969,-9.45437916052523,-0.0117735454085623,0.642083137998468
8,-0.165003007031487,-0.150452277646943,-0.374839030751551,-9.64067873493408,-0.0106005846241775,0.634481367483001
9,-0.164343350015357,-0.143234575538609,-0.36843887386671,-9.79378976961124,-0.00920949217420539,0.62484618361041
10,-0.165968443085992,-0.135361094364169,-0.35927471381047,-9.91296823813358,-0.00751047326207585,0.616210208489184
11,-0.169970345210587,-0.126559215716233,-0.346970065159115,-9.99547333530835,-0.00543648042587527,0.61146838288678
12,-0.176527166378925,-0.116496507826708,-0.331009327661618,-10.0373906184495,-0.00294136716211366,0.613596809302831
13,-0.185899286634652,-0.104764581812896,-0.310731993755845,-15.5328233747342,0,0.625827478063117
14,-0.185459156194063,-0.092611946636822,-0.290057550195873,-21.1360661834241,0,0.622635018331671
15,-0.174069569336001,-0.0802595510959267,-0.268990010762633,-26.8982270588468,0,0.602595472935939
16,-0.149888261445891,-0.068004946046174,-0.247698179041981,-32.881745827721,0,0.563983758652967
17,-0.110289117870103,-0.0562623512040841,-0.226532995871911,-29.1579057930812,0,0.504546437281638
18,-0.0777125997065204,-0.0447948986479168,-0.204928741074783,-25.7568631625599,0,0.448337771585513
19,-0.0507054377868952,-0.0335675605148012,-0.183186660993023,-22.685172265507,0,0.396427268159257
20,-0.0281456292198307,-0.0226053761095165,-0.161552977318408,-19.9343752135172,0,0.34921670691269
21,-0.00916209360035765,-0.0119601050449418,-0.140223901154432,-17.4869617491848,0,0.306704402222465
22,0.00692549488202319,-0.00169007373733866,-0.119351729960205,-15.3204481868182,0,0.268658419135644
23,0.020651855717087,0.00815124174199716,-0.0990511700882012,-13.4101191073283,0,0.234728110489563
24,0.0324400587914256,0.0175209760739668,-0.0794053899392959,-11.7308251701529,0,0.204514215797992
25,0.0426271324796761,0.0263890831110601,-0.0604715423968054,-10.2581205720717,0,0.17761140865192
26,0.0514834353676136,0.0347384114395037,-0.0422856423605797,-8.96894361048247,0,0.153632767270167
27,0.0592273618890127,0.0425635875897423,-0.0248667748356242,-7.84198558836813,0,0.132222589285284
28,0.0660365500901803,0.0498693162328498,-0.00822066089508728,-6.85785109413691,0,0.113061866727236
29,0.0720564613932069,0.0566684800176698,0.00765736367198738,-5.99908220131816,0,0.0958692925508965
30,0.0774069807822189,0.0629802686003335,0.0227798900968946,-5.25009719611669,0,0.0803996841392789
31,0.082187521396909,0.0688284647546569,0.0371654290759041,-4.59707872982755,0,0.0664410408128612
32,0.0864809953422484,0.0742399494400845,0.0508367869426255,-4.02783510250772,0,0.0538110029102771
33,0.0903569216869422,0.0792434461419824,0.063819764178308,-3.53165046535766,0,0.0423531808177897
34,0.0938738750295085,0.0838684997880482,0.0761421217517029,-3.09913416963109,0,0.0319336257262466
35,0.0970814276603697,0.0881446715532594,0.0878327679709054,-2.72207562452266,0,0.0224375868692312
36,0.100021700795324,0.0921009240535771,0.0989211254591573,-2.39330837186293,0,0.0137666197755188
37,0.102730612305698,0.0957651691559576,0.109436644229648,-2.10658529107398,0,0.00583606102016023
38,0.105238887381615,0.0991639511076279,0.119408432493359,-1.8564656604658,0,-0.00142714359311568
39,0.1075728828271,0.102322239714489,0.128864981754049,-1.63821403831927,0,-0.00808628578173346
40,0.109755263856984,0.105263311094167,0.137833966950623,-1.44771045870116,0,-0.014196451744438
41,0.111805563350107,0.108008696596054,0.146342105956424,-1.28137116948861,0,-0.0198058263903889
42,0.113740646772317,0.110578183515124,0.154415065709467,-1.13607900768311,0,-0.0249567806790059
43,0.115575100867342,0.112989854054781,0.162077404702817,-1.00912246337295,0,-0.0296867750815275
44,0.11732156031605,0.115260151528624,0.169352543583807,-0.898142496322495,0,-0.0340291086058653
45,0.118990983581464,0.11740396499823,0.176262757262122,-0.801086215834878,0,-0.038013539055702
46,0.120592886862161,0.119434725424265,0.182829183270262,-0.716166600103336,0,-0.0416667965374529
47,0.122135543301936,0.121364507981097,0.189071842208209,-0.641827505631736,0,-0.0450130088548446
48,0.12362615322286,0.123204136480519,0.195009666982137,-0.576713293895701,0,-0.0480740544192166
49,0.125070990067968,0.124963286902268,0.200660538252924,-0.51964247711535,0,-0.0508698556767557
50,0.126475525888031,0.126650587872138,0.206041324075849,-0.469584855382491,0,-0.0534186238012224
51,0.127844539531158,0.128273716595366,0.21116792216461,-0.425641682128073,0,-0.0557370634939415
52,0.129182210154075,0.129839489273294,0.216055303572509,-0.38702845347896,0,-0.0578405451350744
53,0.130492198239701,0.131353945431335,0.220717556869163,-0.35305996936792,0,-0.0597432502021847
54,0.13177771595386,0.132822425888694,0.225167932116972,-0.323137360555229,0,-0.061458294775485
55,0.133041588387139,0.134249644324349,0.229418884129644,-0.296736816393184,0,-0.0629978350484281
56,0.134286306992508,0.135639752555664,0.233482114634963,-0.273399783701049,0,-0.0643731580256958
57,0.135514076334985,0.136996399758954,0.237368613073325,-0.25272443803327,0,-0.0655947599904188
58,0.136726855108242,0.138322785936366,0.241088695848741,-0.234358255429842,0,-0.0666724148348093
59,0.137926392238401,0.139621709979346,0.2446520439148,-0.217991535920944,0,-0.067615233953129
60,0.139114258782382,0.140895612702897,0.248067738628716,-0.203351750068022,0,-0.0684317190761592
61,0.140291876233111,0.142146615232415,0.25134429584512,-0.190198597067643,0,-0.0691298091680261
62,0.141460541763627,0.143376553120622,0.25448969825026,-0.178319677786372,0,-0.0697169222977837
63,0.142621450874102,0.144587006559398,0.257511425958866,-0.167526698855729,0,-0.0701999932300169
64,0.143775717847986,0.145779327032984,0.260416485411636,-0.157652134917013,0,-0.0705855073431857
65,0.14492439437428,0.146954660736967,0.263211436622443,-0.148546285510888,0,-0.0708795313750649
66,0.146068486650956,0.14811396906338,0.265902418831983,-0.14007467116749,0,-0.0710877414064043
67,0.147208971248616,0.149258046427214,0.268495174629436,-0.132115720151418,0,-0.0712154484226082
68,0.148346809982728,0.150387535684526,0.270995072606496,-0.124558703208471,0,-0.0712676217355033
69,0.149482964016276,0.151502941367745,0.273407128609272,-0.117301878680717,0,-0.0712489105004013
70,0.150618407391826,0.152604640940132,0.275736025653556,-0.110250814617262,0,-0.0711636635254922
71,0.151754140172083,0.153692894248936,0.277986132568029,-0.103316858106287,0,-0.0710159475393713
72,0.152891201350534,0.154767851335783,0.280161521428402,-0.0964157250713444,0,-0.070809564056798
73,0.154030681678151,0.155829558743368,0.282265983843504,-0.0894661862802282,0,-0.0705480649614552
74,0.155173736537854,0.15687796443962,0.284303046152011,-0.0823888273656351,0,-0.0702347669066079
75,0.156321598985064,0.157912921464283,0.28627598358604,-0.0751048623011134,0,-0.0698727646193865
76,0.157475593059592,0.158934190388273,0.288187833455285,-0.0675349810530154,0,-0.0694649431813352
77,0.158637147460913,0.159941440663313,0.290041407402819,-0.0595982130712784,0,-0.06901398934634
78,0.159807809664772,0.160934250928304,0.291839302781224,-0.0512107889144721,0,-0.0685224019466351
79,0.160989260543638,0.161912108329681,0.293583913195375,-0.0422849826474598,0,-0.067992501427932
80,0.162183329535773,0.162874406905901,0.295277438256046,-0.0327279177179764,0,-0.0674264385454041
