negyedev,y_v04_rugalmas_pct,y_thetaw060_pct,y_thetaw075_pct,y_thetaw085_pct
1,-0.342621606937426,-0.373678419770877,-0.374650554547864,-0.37262201031607
2,-0.357945103004304,-0.377684733299296,-0.374657010760064,-0.369065920545204
3,-0.36855728698388,-0.379875827770656,-0.373666558630468,-0.365167499279869
4,-0.375402385175359,-0.381839636681769,-0.373254976641846,-0.362463916052659
5,-0.379132213823397,-0.383007960228155,-0.372769880294226,-0.360238206714241
6,-0.380162719207675,-0.382918195390685,-0.371644390237018,-0.357851142499102
7,-0.378714235565969,-0.381173475605883,-0.369368649911834,-0.35471594993039
8,-0.374839030751551,-0.377410579603512,-0.365465670231742,-0.350276587149562
9,-0.36843887386671,-0.371274120546396,-0.359470572817869,-0.343988697783327
10,-0.35927471381047,-0.362395794518437,-0.350912472766622,-0.335302534534697
11,-0.346970065159115,-0.350377697840078,-0.339298371789888,-0.323647271195352
12,-0.331009327661618,-0.334778919815925,-0.324098531992569,-0.30841621483182
13,-0.310731993755845,-0.315104784963721,-0.304732876042679,-0.28895249746058
14,-0.290057550195873,-0.295092599492103,-0.285415723753675,-0.269938201771196
15,-0.268990010762633,-0.274897337096568,-0.266248838459129,-0.251444078000288
16,-0.247698179041981,-0.254654020726139,-0.247308771240014,-0.233507941829979
17,-0.226532995871911,-0.234502108481674,-0.22867534087509,-0.216167106773688
18,-0.204928741074783,-0.2142957503083,-0.210145839823563,-0.199174514672475
19,-0.183186660993023,-0.194050070542779,-0.191674028425966,-0.182436141533827
20,-0.161552977318408,-0.173821099560631,-0.173255331479604,-0.165898585942584
21,-0.140223901154432,-0.15368783839049,-0.154912581900061,-0.149536710955831
22,-0.119351729960205,-0.133739519308712,-0.136685662616402,-0.133344743722137
23,-0.0990511700882012,-0.114066766994027,-0.118624015765295,-0.117329857220487
24,-0.0794053899392959,-0.0947556764791609,-0.100781270130815,-0.101507539684356
25,-0.0604715423968054,-0.0758840579872865,-0.0832114395128,-0.0858982563900639
26,-0.0422856423605797,-0.0575192756119081,-0.0659662896213364,-0.070525049609243
27,-0.0248667748356242,-0.0397172415863844,-0.0490935756622238,-0.0554118226504573
28,-0.00822066089508728,-0.0225222313100847,-0.0326359286378659,-0.0405821250514994
29,0.00765736367198738,-0.00596726411320652,-0.0166302237681772,-0.02605830661344
30,0.0227798900968946,0.00992514338167272,-0.00110730515777485,-0.0118609440822222
31,0.0371654290759041,0.0251419963298646,0.0139080289787828,0.00199152988285302
32,0.0508367869426255,0.0396787207343523,0.0283968536490876,0.0154830472702746
33,0.063819764178308,0.0535380209321395,0.0423458130499565,0.0286000132544418
34,0.0761421217517029,0.0667287512890712,0.0557467282643748,0.0413313314688208
35,0.0878327679709054,0.0792648404196703,0.0685961497970952,0.0536683677054588
36,0.0989211254591573,0.0911642928507003,0.080894880308235,0.0656048685396361
37,0.109436644229648,0.102448282882652,0.0926474868424646,0.0771368475300921
38,0.119408432493359,0.113140347801733,0.103861817078017,0.0882624487653396
39,0.128864981754049,0.123265682019993,0.114548530341808,0.0989817953482836
40,0.137833966950623,0.132850529741923,0.124720651137286,0.109296828744893
41,0.146342105956424,0.141921671024536,0.134393150547377,0.11921114363269
42,0.154415065709467,0.150505994333744,0.143582558982329,0.128729821874498
43,0.162077404702817,0.158630147676324,0.152306612246059,0.13785926844259
44,0.169352543583807,0.166320259921135,0.160583931720168,0.146607051477963
45,0.176262757262122,0.173601723869551,0.168433738553098,0.154981748152164
46,0.182829183270262,0.18049903287636,0.175875601045285,0.162992797578333
47,0.189071842208209,0.187035663266772,0.182929213901023,0.170650361673796
48,0.195009666982137,0.19323399537049,0.189614207642144,0.177965194593897
49,0.200660538252924,0.19911526664437,0.195949986221122,0.184948521124361
50,0.206041324075849,0.204699551039001,0.201955590709754,0.191611924228635
51,0.21116792216461,0.210005759450097,0.207649586855434,0.197967241790386
52,0.216055303572509,0.215051656760481,0.213049974274808,0.204026472464316
53,0.220717556869163,0.219853891607014,0.218174115080843,0.209801690445999
54,0.225167932116972,0.22442803558907,0.223038679803198,0.215304968890073
55,0.229418884129644,0.228788629165193,0.227659608553769,0.22054831164264
56,0.233482114634963,0.232949231959949,0.23205208550169,0.225543592905502
57,0.237368613073325,0.236922475623526,0.236230524848481,0.230302504414739
58,0.241088695848741,0.240720117753942,0.240208566628981,0.234836509692078
59,0.2446520439148,0.244353095708833,0.24399908080303,0.239156804912896
60,0.248067738628716,0.24783157940411,0.247614178242921,0.243274285927993
61,0.25134429584512,0.25116502242468,0.251065227359731,0.247199520976262
62,0.25448969825026,0.254362210962077,0.254362875245633,0.250942728630798
63,0.257511425958866,0.257431310249652,0.25751707233749,0.254513760531008
64,0.260416485411636,0.260379908292194,0.260537099728343,0.257922088466806
65,0.263211436622443,0.263215056787384,0.263431598366969,0.261176795397473
66,0.265902418831983,0.26594330921523,0.266208599491065,0.264286570006313
67,0.268495174629436,0.268570756131765,0.268875555736483,0.267259704412464
68,0.270995072606496,0.271103057748128,0.271439372453395,0.270104094682473
69,0.273407128609272,0.273545473908179,0.27390643884027,0.272827243806131
70,0.275736025653556,0.275902891599653,0.276282658578535,0.275436266823214
71,0.277986132568029,0.278179850147411,0.278573479714937,0.277937897809802
72,0.280161521428402,0.280380564244566,0.280783923595475,0.280338498454564
73,0.282265983843504,0.282508944979602,0.282918612704706,0.282644067976455
74,0.284303046152011,0.284568619016337,0.284981797307773,0.284860254155573
75,0.28627598358604,0.286562946079897,0.286977380830109,0.286992365268205
76,0.288187833455285,0.28849503489653,0.288908943941964,0.289045382735321
77,0.290041407402819,0.290367757728996,0.290779767342131,0.291023974310702
78,0.291839302781224,0.292183763642826,0.292592853257926,0.292932507650548
79,0.293583913195375,0.293945490632639,0.294350945697079,0.294775064120628
80,0.295277438256046,0.295655176732156,0.296056549502032,0.296555452709788
